id,1000G population code,population,1000G superpopulation code,latitude,longitude,GTM axis 1,GTM axis 2,t-SNE axis 1,t-SNE axis 2,Principal component 1,Principal component 2
HG00290,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.945667081148297228e-01,9.999999999982396304e-01,-4.686678314208984375e+01,2.971127891540527344e+01,-1.763583279221801448e+01,3.362559088851983802e+01
HG00304,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.478621580374138045e-01,9.999999999998168132e-01,-4.735177230834960938e+01,3.196872901916503906e+01,-1.486426098486657743e+01,3.663907575869232858e+01
HG00306,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.608891921402836100e-01,9.999999972846973506e-01,-4.602985382080078125e+01,3.616764068603515625e+01,-1.652043184081550109e+01,3.858417243317737189e+01
HG00308,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.761411262699304592e-01,9.999999999999759082e-01,-4.457228088378906250e+01,3.265447998046875000e+01,-1.611893368377442926e+01,3.668885644816644032e+01
HG00309,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.834533386522968046e-01,9.999999999998655520e-01,-4.514612197875976562e+01,3.235076141357421875e+01,-1.640498469656743552e+01,3.550684799667523350e+01
HG00310,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.716700916437182256e-01,9.999999999999864553e-01,-4.823818206787109375e+01,3.419182205200195312e+01,-1.710933417816326241e+01,3.798936443467680135e+01
HG00311,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.346630652706030995e-01,9.999999984520199225e-01,-4.529066085815429688e+01,3.721432876586914062e+01,-1.591127425967375508e+01,3.796775495169378445e+01
HG00313,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.846540778159249552e-01,9.999999999999998890e-01,-4.810604095458984375e+01,3.150758934020996094e+01,-1.653279079064381207e+01,3.694136199947085686e+01
HG00315,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.677525962589627273e-01,9.999999999999509281e-01,-4.849787139892578125e+01,3.504973602294921875e+01,-1.624385315952574160e+01,4.056427013968271211e+01
HG00318,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.458292441934890160e-01,9.999999999987508881e-01,-4.563629913330078125e+01,3.163704490661621094e+01,-1.556302547988302010e+01,3.537984091232069517e+01
HG00319,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.865167752994445927e-01,9.999999999999998890e-01,-4.821755981445312500e+01,2.919662666320800781e+01,-1.727212479995684191e+01,3.737867695037245142e+01
HG00320,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.945208352505702676e-01,9.999999999994058086e-01,-4.449006271362304688e+01,3.534775543212890625e+01,-1.630799690453697792e+01,3.823719039882451654e+01
HG00321,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.983419540515093837e-01,9.999999999995483613e-01,-4.960868453979492188e+01,3.108253669738769531e+01,-1.668384930120847898e+01,3.329432583546788038e+01
HG00323,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.954478454476572979e-01,1.000000000000000000e+00,-4.935956954956054688e+01,2.902775573730468750e+01,-1.579895521674889558e+01,3.666540004667961483e+01
HG00324,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.987143375486998709e-01,9.999999999999987788e-01,-4.930319213867187500e+01,3.069137382507324219e+01,-1.604145393598921032e+01,3.600610270234853516e+01
HG00325,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.967283990644553171e-01,1.000000000000000000e+00,-4.889564514160156250e+01,2.862446594238281250e+01,-1.833769871411925934e+01,3.724439391914138753e+01
HG00326,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.579602698702196495e-01,9.999999999999958922e-01,-4.517569732666015625e+01,3.078910827636718750e+01,-1.757268539219889192e+01,3.593786609713147584e+01
HG00327,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.762889167789805756e-01,9.999999999999821254e-01,-4.871347427368164062e+01,3.416224288940429688e+01,-1.713487203642455370e+01,3.787822837993157776e+01
HG00328,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.057861069818310407e-01,9.999999999998425704e-01,-4.986098861694335938e+01,3.381077957153320312e+01,-1.607924044279031150e+01,3.754235717215750867e+01
HG00329,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.230424009563636067e-01,9.999999998060488116e-01,-4.622963333129882812e+01,3.609226226806640625e+01,-1.591308887635362446e+01,3.858471084969842479e+01
HG00330,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.707587520836458372e-01,9.999999999999813483e-01,-4.451336288452148438e+01,3.264717864990234375e+01,-1.604668095360841207e+01,3.719478770493658715e+01
HG00331,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.640327506307996508e-01,9.999999999996085354e-01,-4.369810867309570312e+01,3.360353851318359375e+01,-1.531239341270106102e+01,3.861907118329580868e+01
HG00332,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.828369030647019722e-01,9.999999997466902935e-01,-4.628466796875000000e+01,3.305315399169921875e+01,-1.649512853684185387e+01,3.638558737107905472e+01
HG00334,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.474637832106222124e-01,9.999999999705108111e-01,-4.853722000122070312e+01,3.644336318969726562e+01,-1.382306453224838982e+01,4.104118903905065707e+01
HG00335,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.686171263853517122e-01,9.999999999999856781e-01,-4.557756042480468750e+01,3.357439804077148438e+01,-1.546578820461844472e+01,3.811142586479006411e+01
HG00336,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.070691209771837293e-01,1.000000000000000000e+00,-4.984009933471679688e+01,3.379249954223632812e+01,-1.583442197969622178e+01,3.780775101334265287e+01
HG00337,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.645083974789189440e-01,9.999999999888607993e-01,-4.452070999145507812e+01,3.388459014892578125e+01,-1.731713061831624856e+01,3.798397120079643230e+01
HG00338,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.856170485958634320e-01,9.999999999999956701e-01,-4.766157531738281250e+01,3.259420013427734375e+01,-1.647429679279154158e+01,3.749921387784011984e+01
